Title,Postcode,Size,Price,URL,Price/m2
EINMALIGE CHANCE!,1040,66,319000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1040-wieden/einmalige-chance-1669549779/,4833.333333333333
Luxuriöser Jugendstil-Erstbezug: 89 m² mit 3 Zimmern und historischem Charme in Toplage nahe Urania,1030,89,779000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/luxurioeser-jugendstil-erstbezug-89-m-mit-3-zimmern-und-historischem-charme-in-toplage-nahe-urania-1255768847/,8752.808988764045
ETWAS GANZ BESONDERES,1020,63,379000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/etwas-ganz-besonderes-2081403101/,6015.873015873016
Charmante 2-Zimmer Stilaltbauwohnung im Herzen von Ober St Veit,1130,50,329000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1130-hietzing/charmante-2-zimmer-stilaltbauwohnung-im-herzen-von-ober-st-veit-1741312350/,6580.0
"Großzügige, renovierungsbedürftige 3-Zimmer-Wohnung | Dachgeschoss mit Lift | Parkblick | ideal für Heimwerker!",1120,71,199000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1120-meidling/grosszuegige-renovierungsbeduerftige-3-zimmer-wohnung-dachgeschoss-mit-lift-parkblick-ideal-fuer-heimwerker-809307329/,2802.8169014084506
"""Luxury living near Alte-Donau""",1220,52,520000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/-luxury-living-near-alte-donau-1534622903/,10000.0
ETWAS GANZ BESONDERES,1020,63,369000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/etwas-ganz-besonderes-1369940981/,5857.142857142857
Designerwohnung - Wintersale - Auch für Anleger,1100,82,289000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1100-favoriten/designerwohnung-wintersale-auch-fuer-anleger-1844636946/,3524.390243902439
3 Zimmerwohnung im 2.Liftstock in der Wehlistraße Nähe U6 Millenium City,1200,72,269000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/3-zimmerwohnung-im-2-liftstock-in-der-wehlistrasse-naehe-u6-millenium-city-1142570133/,3736.1111111111113
TOP LAGE SUCHT NEUEN GLANZ! Sanierungsbedürftige 2 Zimmer Wohnung,1130,55,235000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1130-hietzing/top-lage-sucht-neuen-glanz-sanierungsbeduerftige-2-zimmer-wohnung-1237776719/,4272.727272727273
Ober St. Veit SOMMERERGASSE / TERRASSEN+Dachgarten / LIFT in die Wohnung / 3 Bäder / PKW Abstellplatz,1130,128,1099000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1130-hietzing/ober-st-veit-sommerergasse-terrassen-dachgarten-lift-in-die-wohnung-3-baeder-pkw-abstellplatz-981024748/,8585.9375
Architekten - Eigentumswohnung (Loft) in bester Lage des 5ten Bezirkes in Wien!,1050,94,598000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/architekten-eigentumswohnung-loft-in-bester-lage-des-5ten-bezirkes-in-wien-1207647573/,6361.702127659574
3 Zimmerwohnung mit sonnigem Garten,1160,77,467000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1160-ottakring/3-zimmerwohnung-mit-sonnigem-garten-1074189792/,6064.935064935065
Helle 3 Zimmerwohnung Hütteldorferstraße,1140,76,297000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1140-penzing/helle-3-zimmerwohnung-huetteldorferstrasse-1664987791/,3907.8947368421054
Anlage oder Eigennutzung! Vielseitige Nutzungsmöglichkeiten!,1110,88,320000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1110-simmering/anlage-oder-eigennutzung-vielseitige-nutzungsmoeglichkeiten-1306525995/,3636.3636363636365
Exklusive Altbau-Residenz,1100,108,390000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1100-favoriten/exklusive-altbau-residenz-1111197999/,3611.1111111111113
