Title,Postcode,Size,Price,URL
Geräumige Vorsorgewohnung bei der U3: Befristet vermietete Neubauwohnung mit top Grundriss,1160,51 m²,€ 276.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1160-ottakring/geraeumige-vorsorgewohnung-bei-der-u3-befristet-vermietete-neubauwohnung-mit-top-grundriss-1312964708/
Ganz Oben - 4 Zimmer mit 76 m² Terrasse auf Wohnebene - Vor Fertigstellung !,1130,76 m²,€ 1.288.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1130-hietzing/ganz-oben-4-zimmer-mit-76-m-terrasse-auf-wohnebene-vor-fertigstellung-2009321649/
THE GREENERY . Perfekte 2 Zimmer mit Terrasse - September bezugsfertig !,1130,55 m²,€ 396.800,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1130-hietzing/the-greenery-perfekte-2-zimmer-mit-terrasse-september-bezugsfertig-2026023308/
Neubauprojekt ~ 1220 Wien~ 1 Dachgeschoss~ 47 m² ~ 2 Zimmer~ Air BnB,1220,47 m²,€ 329.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/neubauprojekt-1220-wien-1-dachgeschoss-47-m-2-zimmer-air-bnb-718560953/
Wohnen im 5ten Bezirk Wien 1050 - Eigentumswohnung in ruhiger und tollen Lage! TOPPREIS!,1050,47 m²,€ 199.900,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/wohnen-im-5ten-bezirk-wien-1050-eigentumswohnung-in-ruhiger-und-tollen-lage-toppreis-876648471/
10 Minuten zur U2 - direkt am oberen Mühlwasser - nur noch 2 DG Maisonette verfügbar - grüne Ruhelage - Klimaanlage - Tiefgaragenstellplatz,1220,105 m²,€ 618.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/10-minuten-zur-u2-direkt-am-oberen-muehlwasser-nur-noch-2-dg-maisonette-verfuegbar-gruene-ruhelage-klimaanlage-tiefgaragenstellplatz-1927043226/
Schöne Altbauwohnung mit Balkon und Sonnenterrasse,1180,86 m²,€ 539.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1180-waehring/schoene-altbauwohnung-mit-balkon-und-sonnenterrasse-1541115372/
Autarkes Luxus Penthouse mit atemberaubenden Wienblick und modernsten Standards!,1050,227 m²,€ 2.190.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/autarkes-luxus-penthouse-mit-atemberaubenden-wienblick-und-modernsten-standards-939581884/
LOFTARTIGE DESIGNER-WOHNUNG,1050,118 m²,€ 845.000,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/loftartige-designer-wohnung-646171034/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,65 m²,€ 427.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730791947/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,38 m²,€ 259.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730791951/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,36 m²,€ 241.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730791955/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,44 m²,€ 299.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730791962/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,41 m²,€ 286.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730791965/
PROVISIONSFREI - Aspern Flats 101 - Ihr Traum vom Eigenheim im Grünen,1220,53 m²,€ 431.500,https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/provisionsfrei-aspern-flats-101-ihr-traum-vom-eigenheim-im-gruenen-730791971/
